ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,humidity,humidity_lower,humidity_upper,humidity_lag1,humidity_lag1_lower,humidity_lag1_upper,temp_rolling3,temp_rolling3_lower,temp_rolling3_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,15.107690775138652,11.412404027622795,12.037764426829074,15.107690775138652,15.107690775138652,-3.3880295562405136,-3.3880295562405136,-3.3880295562405136,-3.3316944548315455,-3.3316944548315455,-3.3316944548315455,-0.0811302429191817,-0.0811302429191817,-0.0811302429191817,-0.000864000230265453,-0.000864000230265453,-0.000864000230265453,-3.249700211682098,-3.249700211682098,-3.249700211682098,-0.05633510140896872,-0.05633510140896872,-0.05633510140896872,0.0,0.0,0.0,11.719661218898139
2023-01-02,15.1079112404612,11.632376315176916,12.252395323746756,15.1079112404612,15.1079112404612,-3.1564060222580115,-3.1564060222580115,-3.1564060222580115,-3.228377427008494,-3.228377427008494,-3.228377427008494,0.02218678490386907,0.02218678490386907,0.02218678490386907,-0.000864000230265453,-0.000864000230265453,-0.000864000230265453,-3.249700211682098,-3.249700211682098,-3.249700211682098,0.07197140475048308,0.07197140475048308,0.07197140475048308,0.0,0.0,0.0,11.95150521820319
2023-01-03,15.108131705783748,11.51891231659464,12.14309323881077,15.108131705783748,15.108131705783748,-3.270515491587538,-3.270515491587538,-3.270515491587538,-3.319321409212353,-3.319321409212353,-3.319321409212353,-0.06985929442939445,-0.06985929442939445,-0.06985929442939445,0.00023809689913974652,0.00023809689913974652,0.00023809689913974652,-3.249700211682098,-3.249700211682098,-3.249700211682098,0.048805917624814864,0.048805917624814864,0.048805917624814864,0.0,0.0,0.0,11.83761621419621
2023-01-04,15.108352171106299,12.216242249278862,12.802060036102244,15.108352171106299,15.108352171106299,-2.603915029260369,-2.603915029260369,-2.603915029260369,-2.540788165218938,-2.540788165218938,-2.540788165218938,-0.011626060565492945,-0.011626060565492945,-0.011626060565492945,-0.0007437714525121596,-0.0007437714525121596,-0.0007437714525121596,-2.528418333200933,-2.528418333200933,-2.528418333200933,-0.06312686404143103,-0.06312686404143103,-0.06312686404143103,0.0,0.0,0.0,12.50443714184593
2023-01-05,15.108572636428846,12.769611656298869,13.413768255479077,15.108572636428846,15.108572636428846,-2.0151829141009303,-2.0151829141009303,-2.0151829141009303,-1.9686350486567594,-1.9686350486567594,-1.9686350486567594,-0.019140026225351287,-0.019140026225351287,-0.019140026225351287,-0.00012258943412013642,-0.00012258943412013642,-0.00012258943412013642,-1.9493724329972881,-1.9493724329972881,-1.9493724329972881,-0.04654786544417082,-0.04654786544417082,-0.04654786544417082,0.0,0.0,0.0,13.093389722327917
2023-01-06,15.108793101751397,13.324061402406688,13.954407875704598,15.108793101751397,15.108793101751397,-1.475323629853201,-1.475323629853201,-1.475323629853201,-1.5149844308294478,-1.5149844308294478,-1.5149844308294478,-0.005990586320599319,-0.005990586320599319,-0.005990586320599319,-0.0002027419526223339,-0.0002027419526223339,-0.0002027419526223339,-1.5087911025562262,-1.5087911025562262,-1.5087911025562262,0.03966080097624687,0.03966080097624687,0.03966080097624687,0.0,0.0,0.0,13.633469471898195
2023-01-07,15.109013567073944,13.436064778699379,14.046683943680884,15.109013567073944,15.109013567073944,-1.366415122858696,-1.366415122858696,-1.366415122858696,-1.3719868304012262,-1.3719868304012262,-1.3719868304012262,-0.004112094905634866,-0.004112094905634866,-0.004112094905634866,-6.247504524348973e-05,-6.247504524348973e-05,-6.247504524348973e-05,-1.3678122604503478,-1.3678122604503478,-1.3678122604503478,0.0055717075425300595,0.0055717075425300595,0.0055717075425300595,0.0,0.0,0.0,13.742598444215249
2023-01-08,15.109234032396493,13.554420400996808,14.155568767377892,15.109234032396493,15.109234032396493,-1.2591018630733657,-1.2591018630733657,-1.2591018630733657,-1.2027667616644437,-1.2027667616644437,-1.2027667616644437,0.016551310658975447,0.016551310658975447,0.016551310658975447,-4.243691561794178e-05,-4.243691561794178e-05,-4.243691561794178e-05,-1.2192756354078012,-1.2192756354078012,-1.2192756354078012,-0.056335101408921937,-0.056335101408921937,-0.056335101408921937,0.0,0.0,0.0,13.850132169323128
2023-01-09,15.109454497719044,13.344714544508383,13.957242100674364,15.109454497719044,15.109454497719044,-1.4583404683465693,-1.4583404683465693,-1.4583404683465693,-1.5303118730971164,-1.5303118730971164,-1.5303118730971164,-0.13748498536811846,-0.13748498536811846,-0.13748498536811846,0.00017798251026309984,0.00017798251026309984,0.00017798251026309984,-1.393004870239261,-1.393004870239261,-1.393004870239261,0.07197140475054706,0.07197140475054706,0.07197140475054706,0.0,0.0,0.0,13.651114029372476
2023-01-10,15.109674963041591,13.428019281619894,14.04310930806712,15.109674963041591,15.109674963041591,-1.3580119099023864,-1.3580119099023864,-1.3580119099023864,-1.4068178275272087,-1.4068178275272087,-1.4068178275272087,0.005280362169187931,0.005280362169187931,0.005280362169187931,-0.0014651441190319256,-0.0014651441190319256,-0.0014651441190319256,-1.4106330455773648,-1.4106330455773648,-1.4106330455773648,0.04880591762482245,0.04880591762482245,0.04880591762482245,0.0,0.0,0.0,13.751663053139206
